10001|1|10001|100000|
10001|3|10002|100000|
10002|4|10001|100000|
10001|1|10001|900000|
10001|1|10001|10000|
10001|2|10001|100000|
10001|2|10001|10000|
10003|1|10003|10000|
10003|2|10003|10000|
10003|2|10003|10000|
10001|1|10001|10000|
10001|1|10001|0|
10001|1|10001|100000|
10001|2|10001|100000|
10001|1|10001|0|
10001|1|10001|0|
10001|1|10001|10000|
10001|1|10001|100|
10001|3|10002|10000|
10002|4|10001|10000|
10001|1|10001|1000|
10001|1|10001|100000|
10001|2|10001|1000|
10001|1|10001|100000|
10001|3|10002|10000|
10002|4|10001|10000|
10001|1|10001|10000|
10001|2|10001|10000|
10001|3|10002|10000|
10002|4|10001|10000|
10002|1|10002|10000|
10002|2|10002|10000|
10002|3|10001|10000|
10001|4|10002|10000|
10002|3|10001|10000|
10001|4|10002|10000|
